eventBonus	liveBonus	scoreLowerLimit	scoreUpperLimit	eventPoint
0	0	0	19999	130
0	0	20000	39999	131
0	0	40000	59999	132
0	0	60000	79999	133
0	0	80000	99999	135
0	0	100000	119999	136
0	0	120000	139999	137
0	0	140000	159999	139
0	0	160000	179999	140
0	0	180000	199999	141
0	0	200000	219999	143
0	0	220000	239999	144
0	0	240000	259999	145
0	0	260000	279999	146
0	0	280000	299999	148
0	0	300000	319999	149
0	0	320000	339999	150
0	0	340000	359999	152
0	0	360000	379999	153
0	0	380000	399999	154
0	0	400000	419999	156
0	0	420000	439999	157
0	0	440000	459999	158
0	0	460000	479999	159
0	0	480000	499999	161
0	0	500000	519999	162
0	0	520000	539999	163
0	0	540000	559999	165
0	0	560000	579999	166
0	0	580000	599999	167
0	0	600000	619999	169
0	0	620000	639999	170
0	0	640000	659999	171
0	0	660000	679999	172
0	0	680000	699999	174
0	0	700000	719999	175
0	0	720000	739999	176
0	0	740000	759999	178
0	0	760000	779999	179
0	0	780000	799999	180
0	0	800000	819999	182
0	0	820000	839999	183
0	0	840000	859999	184
0	0	860000	879999	185
0	0	880000	899999	187
0	0	900000	919999	188
0	0	920000	939999	189
0	0	940000	959999	191
0	0	960000	979999	192
0	0	980000	999999	193
0	0	1000000	1019999	195
0	0	1020000	1039999	196
0	0	1040000	1059999	197
0	0	1060000	1079999	198
0	0	1080000	1099999	200
0	0	1100000	1119999	201
0	0	1120000	1139999	202
0	0	1140000	1159999	204
0	0	1160000	1179999	205
0	0	1180000	1199999	206
0	0	1200000	1219999	208
0	0	1220000	1239999	209
0	0	1240000	1259999	210
0	0	1260000	1279999	211
0	0	1280000	1299999	213
0	0	1300000	1319999	214
0	0	1320000	1339999	215
0	0	1340000	1359999	217
0	0	1360000	1379999	218
0	0	1380000	1399999	219
0	0	1400000	1419999	221
0	0	1420000	1439999	222
0	0	1440000	1459999	223
0	0	1460000	1479999	224
0	0	1480000	1499999	226
0	0	1500000	1519999	227
0	0	1520000	1539999	228
0	0	1540000	1559999	230
0	0	1560000	1579999	231
0	0	1580000	1599999	232
0	0	1600000	1619999	234
0	0	1620000	1639999	235
0	0	1640000	1659999	236
0	0	1660000	1679999	237
0	0	1680000	1699999	239
0	0	1700000	1719999	240
0	0	1720000	1739999	241
0	0	1740000	1759999	243
0	0	1760000	1779999	244
0	0	1780000	1799999	245
0	0	1800000	1819999	247
0	0	1820000	1839999	248
0	0	1840000	1859999	249
0	0	1860000	1879999	250
0	0	1880000	1899999	252
0	0	1900000	1919999	253
0	0	1920000	1939999	254
0	0	1940000	1959999	256
0	0	1960000	1979999	257
0	0	1980000	1999999	258
0	0	2000000	2019999	260
0	0	2020000	2039999	261
0	0	2040000	2059999	262
0	0	2060000	2079999	263
0	0	2080000	2099999	265
0	0	2100000	2119999	266
0	0	2120000	2139999	267
0	0	2140000	2159999	269
0	0	2160000	2179999	270
0	0	2180000	2199999	271
0	0	2200000	2219999	273
0	0	2220000	2239999	274
0	0	2240000	2259999	275
0	0	2260000	2279999	276
0	0	2280000	2299999	278
0	0	2300000	2319999	279
0	0	2320000	2339999	280
0	0	2340000	2359999	282
0	0	2360000	2379999	283
0	0	2380000	2399999	284
0	0	2400000	2419999	286
0	0	2420000	2439999	287
0	0	2440000	2459999	288
0	0	2460000	2479999	289
0	0	2480000	2499999	291
0	0	2500000	2519999	292
0	0	2520000	2539999	293
0	0	2540000	2559999	295
0	0	2560000	2579999	296
0	0	2580000	2599999	297
0	0	2600000	2619999	299
0	0	2620000	2639999	300
0	0	2640000	2659999	301
0	0	2660000	2679999	302
0	0	2680000	2699999	304
0	0	2700000	2719999	305
0	0	2720000	2739999	306
0	0	2740000	2759999	308
0	0	2760000	2779999	309
0	0	2780000	2799999	310
0	0	2800000	2819999	312
0	0	2820000	2839999	313
0	0	2840000	2859999	314
0	0	2860000	2879999	315
0	0	2880000	2899999	317
0	0	2900000	2919999	318
0	0	2920000	2939999	319
0	0	2940000	2959999	321
0	0	2960000	2979999	322
0	0	2980000	2999999	323
0	0	3000000	3019999	325
1	0	0	19999	131
1	0	20000	39999	132
1	0	40000	59999	133
1	0	60000	79999	135
1	0	80000	99999	136
1	0	100000	119999	137
1	0	120000	139999	139
1	0	140000	159999	140
1	0	160000	179999	141
1	0	180000	199999	143
1	0	200000	219999	144
1	0	220000	239999	145
1	0	240000	259999	147
1	0	260000	279999	148
1	0	280000	299999	149
1	0	300000	319999	150
1	0	320000	339999	152
1	0	340000	359999	153
1	0	360000	379999	154
1	0	380000	399999	156
1	0	400000	419999	157
1	0	420000	439999	158
1	0	440000	459999	160
1	0	460000	479999	161
1	0	480000	499999	162
1	0	500000	519999	164
1	0	520000	539999	165
1	0	540000	559999	166
1	0	560000	579999	168
1	0	580000	599999	169
1	0	600000	619999	170
1	0	620000	639999	172
1	0	640000	659999	173
1	0	660000	679999	174
1	0	680000	699999	175
1	0	700000	719999	177
1	0	720000	739999	178
1	0	740000	759999	179
1	0	760000	779999	181
1	0	780000	799999	182
1	0	800000	819999	183
1	0	820000	839999	185
1	0	840000	859999	186
1	0	860000	879999	187
1	0	880000	899999	189
1	0	900000	919999	190
1	0	920000	939999	191
1	0	940000	959999	193
1	0	960000	979999	194
1	0	980000	999999	195
1	0	1000000	1019999	196
1	0	1020000	1039999	198
1	0	1040000	1059999	199
1	0	1060000	1079999	200
1	0	1080000	1099999	202
1	0	1100000	1119999	203
1	0	1120000	1139999	204
1	0	1140000	1159999	206
